frac,frame,N,frac_in,n_out,expand,csv,png
normal_to_cancer,0,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z000.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z000.png
normal_to_cancer,1,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z001.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z001.png
normal_to_cancer,2,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z002.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z002.png
normal_to_cancer,3,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z003.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z003.png
normal_to_cancer,4,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z004.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z004.png
normal_to_cancer,5,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z005.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z005.png
normal_to_cancer,6,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z006.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z006.png
normal_to_cancer,7,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z007.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z007.png
normal_to_cancer,8,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z008.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z008.png
normal_to_cancer,9,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z009.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z009.png
normal_to_cancer,10,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z010.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z010.png
normal_to_cancer,11,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z011.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z011.png
normal_to_cancer,12,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z012.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z012.png
normal_to_cancer,13,145,1.0,0,,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z013.csv,/home/zhouyj/project/src/GP1_results/bound/normal_to_cancer/bound_z013.png
