x_norm,y_norm
-0.66438234,-0.7285051
-0.61819685,-0.7501392
-0.5720114,-0.7717733
-0.5258259,-0.7934074
-0.47964048,-0.8150415
-0.43345502,-0.8366756
-0.38726956,-0.8583097
-0.3410841,-0.8799438
-0.29489863,-0.9015779
-0.24871317,-0.923212
-0.2025277,-0.9448461
-0.15634224,-0.9664802
-0.110156775,-0.9881143
-0.06397131,-1.0097485
-0.017785845,-1.0313826
0.028399618,-1.0530167
0.07458508,-1.0746508
0.120770544,-1.0962849
0.16695601,-1.117919
0.21588889,-1.1241146
0.26670244,-1.1197424
0.30876043,-1.1022915
0.33216578,-1.0569779
0.3555711,-1.0116643
0.3789764,-0.9663507
0.40238172,-0.9210371
0.42578703,-0.8757235
0.44919235,-0.8304099
0.47259766,-0.7850963
0.49600297,-0.7397827
0.5194083,-0.69446903
0.5428136,-0.64915544
0.5662189,-0.60384184
0.5896242,-0.55852824
0.61302954,-0.51321465
0.63643485,-0.46790102
0.65984017,-0.42258742
0.68324554,-0.37727383
0.70665085,-0.3319602
0.73005617,-0.2866466
0.7534615,-0.24133301
0.7768668,-0.1960194
0.8002721,-0.15070578
0.8236774,-0.10539218
0.84708273,-0.060078576
0.87048805,-0.014764972
0.89389336,0.030548634
0.9172987,0.075862244
0.940704,0.12117585
0.9641093,0.16648945
0.9875146,0.21180306
1.0109199,0.25711668
1.0343252,0.30243027
1.0154114,0.34235626
0.981399,0.38036007
0.94738656,0.4183639
0.905774,0.44708776
0.8618128,0.47294402
0.8178516,0.49880025
0.77389044,0.5246565
0.7299292,0.55051273
0.68596804,0.576369
0.6420069,0.6022252
0.59804565,0.62808144
0.5525095,0.6510172
0.5067521,0.67354256
0.45888016,0.6795199
0.4089289,0.669224
0.35897768,0.65892816
0.30902642,0.6486323
0.2590752,0.6383364
0.20912394,0.62804055
0.1591727,0.6177447
0.10922146,0.6074488
0.059270214,0.59715295
0.009318972,0.5868571
-0.04063227,0.5765612
-0.09058351,0.56626534
-0.14053476,0.5559695
-0.190486,0.5456736
-0.24043724,0.53537774
-0.2903885,0.5250819
-0.34033972,0.514786
-0.39029098,0.50449014
-0.4402422,0.49419424
-0.49019346,0.48389837
-0.5401447,0.4736025
-0.59009594,0.46330664
-0.6400472,0.45301077
-0.6899984,0.4427149
-0.73994964,0.43241903
-0.7899009,0.42212316
-0.83985215,0.4118273
-0.8898034,0.4015314
-0.9397546,0.39123553
-0.98970586,0.38093966
-1.0396571,0.3706438
-1.0896083,0.36034793
-1.1395596,0.35005206
-1.1895108,0.3397562
-1.2394621,0.32946032
-1.2894133,0.31916445
-1.3213912,0.28458288
-1.3458346,0.2398206
-1.366274,0.1934645
-1.3792785,0.14414902
-1.3922831,0.09483352
-1.3940119,0.047314502
-1.3663262,0.004481793
-1.3386406,-0.038350914
-1.3105541,-0.080921344
-1.2824044,-0.12345032
-1.2528441,-0.16488715
-1.218717,-0.202788
-1.1845899,-0.24068883
-1.1504629,-0.27858967
-1.1163357,-0.31649053
-1.0812122,-0.3534535
-1.0454457,-0.38981137
-1.0096793,-0.42616928
-0.9722808,-0.46079147
-0.9337934,-0.49425572
-0.8953061,-0.52772
-0.85681874,-0.56118417
-0.81833136,-0.5946484
-0.77984405,-0.6281127
-0.7413567,-0.6615769
-0.70286936,-0.6950411
