frac,frame,N,frac_in,n_out,expand,csv,png
T167_to_T168,0,14205,0.9987328405491024,18,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z000.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z000.png
T167_to_T168,1,14205,0.999155227032735,12,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z001.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z001.png
T167_to_T168,2,14205,0.9987328405491024,18,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z002.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z002.png
T167_to_T168,3,14205,0.9993664202745512,9,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z003.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z003.png
T167_to_T168,4,14205,0.9988736360436467,16,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z004.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z004.png
T167_to_T168,5,14205,0.9993664202745512,9,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z005.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z005.png
T167_to_T168,6,14205,0.9990144315381908,14,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z006.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z006.png
T167_to_T168,7,14205,0.9990848292854628,13,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z007.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z007.png
T167_to_T168,8,14205,0.9990848292854628,13,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z008.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z008.png
T167_to_T168,9,14205,0.9992960225272791,10,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z009.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z009.png
T167_to_T168,10,14205,0.9979584653291095,29,1.01,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z010.csv,/home/zhouyj/project/src/mouse_results copy/bound/T167_to_T168/bound_z010.png
