x_norm,y_norm
0.84715414,1.0907936
0.86201125,1.0637597
0.8630605,1.0331334
0.86293066,1.0021548
0.8644453,0.9710993
0.8630773,0.94001806
0.8636966,0.90893984
0.8628571,0.87788415
0.86362696,0.846827
0.8654305,0.8157644
0.86598957,0.78471845
0.8633563,0.7537152
0.8649644,0.7227578
0.86374176,0.6918666
0.86567473,0.66081184
0.8661803,0.6297155
0.86605656,0.59860086
0.8664696,0.567489
0.86611235,0.53637683
0.86570704,0.5052646
0.86464906,0.4741694
0.8634307,0.4430784
0.8643793,0.41203937
0.8668552,0.38103694
0.8669883,0.34993896
0.86327875,0.31904602
0.86001927,0.28810883
0.8576446,0.2570847
0.8552699,0.22606058
0.85646343,0.19503218
0.8587635,0.16400243
0.8636,0.13329674
0.86589116,0.1023672
0.8660534,0.07125276
0.86470425,0.04018133
0.86357254,0.009105118
0.8639697,-0.022006124
0.8649047,-0.053106975
0.8658527,-0.08420739
0.86499894,-0.11520559
0.8619157,-0.14616732
0.8631139,-0.17719655
0.8652487,-0.20823808
0.8662716,-0.23933561
0.8658832,-0.2704308
0.86635125,-0.30153447
0.8661226,-0.33264852
0.8650233,-0.3637433
0.8638745,-0.394837
0.86183214,-0.42587262
0.85894805,-0.45685354
0.85791266,-0.48793495
0.8602457,-0.5188299
0.86557764,-0.5494844
0.86656123,-0.58038044
0.864694,-0.6114392
0.8629971,-0.64250624
0.8618636,-0.67360044
0.8639086,-0.704584
0.8658882,-0.7355689
0.8647085,-0.76666135
0.8624942,-0.79764825
0.8613128,-0.8287407
0.8610503,-0.8598105
0.8626165,-0.89086425
0.86301535,-0.92197657
0.8620156,-0.95304626
0.8617276,-0.9841056
0.863123,-1.0151892
0.8655433,-1.0462039
0.86554146,-1.077173
0.8636749,-1.1081222
0.86669934,-1.1390897
0.86171883,-1.1692358
0.8498278,-1.195262
0.81872237,-1.1944997
0.7876196,-1.19378
0.75703055,-1.189251
0.72663134,-1.1826229
0.69606334,-1.1768147
0.6654954,-1.1710066
0.6346655,-1.1676027
0.6045142,-1.1749743
0.57442695,-1.182905
0.5442345,-1.1904229
0.5139908,-1.1859478
0.48373973,-1.1786672
0.4533033,-1.1739911
0.42241937,-1.1776476
0.39169633,-1.1825701
0.36097333,-1.1874926
0.3302503,-1.1924151
0.2994007,-1.1956891
0.2682863,-1.1955142
0.23717189,-1.1953393
0.20606612,-1.1946939
0.17496629,-1.1937245
0.14410874,-1.1900902
0.11312807,-1.1872033
0.082245715,-1.1856009
